game,model,metric,mean,std,var,median,max,min,skew
adventuregame,LLaMA2-13B-Tiefighter,Aborted,1.0,0.0,0.0,1.0,1.0,1.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Lose,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Main Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Parsed Request Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Played,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Request Count,1.0,0.0,0.0,1.0,1.0,1.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Request Success Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,Violated Request Count,1.0,0.0,0.0,1.0,1.0,1.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,achieved_goal_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,action_parsing_fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,action_resolution_fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,bad_plan_dismiss_ratio,1.0,0.0,0.0,1.0,1.0,1.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,bad_plan_follow_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,entity_already_inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,entity_not_accessible,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,finish_speed,,,,,,,
adventuregame,LLaMA2-13B-Tiefighter,going_to_current_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,hallucination_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,lark_exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,malformed_command,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,manipulating_room,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,multiple_entity_ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventuregame,LLaMA2-13B-Tiefighter,multiple_exits_to,0.0,0.0,0.0,0.0,0.0,0.0,0.0
